Year,Quarter,지역,지역별 분기별 평균 강수량 (mm)
2015,2,인제,1.63
2015,2,인천,1.62
2015,2,임실,2.35
2015,2,장수,2.99
2015,2,장흥,4.48
2015,2,전주,2.84
2015,2,정선군,1.93
2015,2,정읍,3.16
2015,2,제주,5.32
2015,2,제천,2.09
2015,2,진도군,5.77
2015,2,진주,4.94
2015,2,창원,4.48
2015,2,천안,2.21
2015,2,철원,2.35
2015,2,청송군,2.07
2015,2,청주,2.38
2015,2,추풍령,2.29
2015,2,춘천,2.07
2015,2,충주,2.05
2015,2,태백,2.57
2015,2,통영,6.01
2015,2,파주,1.9
2015,2,포항,2.74
2015,2,함양군,3.35
2015,2,합천,3.39
2015,2,해남,4.76
2015,2,홍천,1.97
2015,2,흑산도,4.08
2015,3,강릉,3.89
2015,3,강진군,5.08
2015,3,강화,2.87
2015,3,거제,6.88
2015,3,거창,4.62
2015,3,경주시,5.44
2015,3,고산,5.2
2015,3,고산(제주),5.15
2015,3,고창,3.13
2015,3,고창군,3.68
2015,3,고흥,5.42
2015,3,광양시,4.67
2015,3,광주,4.13
2015,3,구미,3.62
2015,3,군산,2.29
2015,3,금산,2.88
2015,3,김해시,4.55
2015,3,남원,3.04
2015,3,남해,6.85
2015,3,대관령,5.54
2015,3,대구,5.41
2015,3,대전,2.34
2015,3,동두천,5.76
2015,3,동해,3.95
2015,3,목포,3.54
2015,3,문경,2.43
2015,3,밀양,4.9
2015,3,백령도,3.61
2015,3,보령,1.5
2015,3,보성군,4.28
2015,3,보은,3.05
2015,3,봉화,2.2
2015,3,부산,5.23
2015,3,부안,2.45
2015,3,부여,2.16
2015,3,북강릉,3.16
2015,3,북창원,4.86
2015,3,산청,7.71
2015,3,상주,2.46
2015,3,서귀포,9.23
2015,3,서산,2.57
2015,3,서울,3.53
2015,3,성산,9.71
2015,3,속초,4.08
2015,3,수원,3.3
2015,3,순창군,3.84
2015,3,순천,5.58
2015,3,안동,3.22
2015,3,양산시,5.76
2015,3,양평,3.57
2015,3,여수,4.75
2015,3,영광군,3.1
2015,3,영덕,3.16
2015,3,영월,3.2
2015,3,영주,2.67
2015,3,영천,4.32
2015,3,완도,5.41
2015,3,울릉도,3.59
2015,3,울산,4.97
2015,3,울진,3.08
2015,3,원주,3.63
2015,3,의령군,4.83
2015,3,의성,2.27
2015,3,이천,3.08
2015,3,인제,4.16
2015,3,인천,2.55
2015,3,임실,2.85
2015,3,장수,3.09
2015,3,장흥,4.83
2015,3,전주,2.26
2015,3,정선군,3.12
2015,3,정읍,3.18
2015,3,제주,8.17
2015,3,제천,3.54
2015,3,진도군,5.01
2015,3,진주,5.17
2015,3,창원,4.38
2015,3,천안,2.5
2015,3,철원,6.86
2015,3,청송군,3.23
2015,3,청주,2.35
2015,3,추풍령,2.85
2015,3,춘천,3.1
2015,3,충주,3.12
2015,3,태백,4.08
2015,3,통영,5.17
2015,3,파주,3.1
2015,3,포항,4.15
2015,3,함양군,3.72
2015,3,합천,5.03
2015,3,해남,4.87
2015,3,홍천,3.87
2015,3,흑산도,3.24
2015,4,강릉,4.12
2015,4,강진군,2.59
2015,4,강화,2.45
2015,4,거제,3.41
2015,4,거창,2.48
2015,4,경주시,1.78
2015,4,고산,2.78
