지역,Year,Quarter,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
대전,2021,2,17.0,42.7,0.003,0.041,0.013,0.4
대전,2021,3,8.5,15.5,0.003,0.0323,0.0103,0.4
대전,2021,4,18.3,35.0,0.0037,0.021,0.0223,0.5
대전,2022,1,24.3,43.0,0.004,0.027,0.0233,0.5333
대전,2022,2,14.3,30.3,0.0033,0.0443,0.013,0.4
대전,2022,3,10.0,18.0,0.0027,0.03,0.0107,0.3333
대전,2022,4,19.7,32.7,0.0027,0.0187,0.0223,0.4667
대전,2023,1,27.0,51.3,0.0029,0.0257,0.0232,0.45
대전,2023,2,17.7,42.3,0.0025,0.0425,0.0124,0.3267
대전,2023,3,12.3,20.3,0.0024,0.0304,0.0105,0.3233
대전,2023,4,16.7,29.0,0.0027,0.0237,0.0194,0.3933
대전,2024,1,19.3,35.0,0.0027,0.0273,0.0187,0.4167
대전,2024,2,15.3,33.3,0.0027,0.0443,0.0126,0.3167
부산,2012,1,,46.0,0.007,0.0257,0.0213,0.4
부산,2012,2,,49.7,0.0053,0.0377,0.021,0.3667
부산,2012,3,,36.3,0.0037,0.0283,0.0167,0.3667
부산,2012,4,,41.7,0.005,0.0227,0.023,0.4667
부산,2013,1,,56.3,0.0067,0.027,0.0253,0.5
부산,2013,2,,52.7,0.0057,0.0373,0.0217,0.4
부산,2013,3,,42.3,0.004,0.027,0.017,0.3667
부산,2013,4,,42.7,0.0053,0.0237,0.02,0.4
부산,2014,1,,50.7,0.0067,0.027,0.0213,0.4333
부산,2014,2,,59.3,0.0057,0.0387,0.0207,0.3667
부산,2014,3,,41.0,0.0043,0.0287,0.016,0.3
부산,2014,4,,42.7,0.0057,0.0227,0.021,0.3667
부산,2015,1,28.3,55.3,0.007,0.026,0.021,0.4
부산,2015,2,28.3,51.0,0.0053,0.0367,0.021,0.3667
부산,2015,3,20.0,,0.0047,0.0307,0.0163,0.3
부산,2015,4,25.7,37.0,0.0053,0.022,0.023,0.4333
부산,2016,1,31.3,47.7,0.006,0.0267,0.0243,0.4333
부산,2016,2,29.0,50.7,0.005,0.0397,0.022,0.4
부산,2016,3,19.7,33.7,0.004,0.0303,0.016,0.3333
부산,2016,4,27.3,43.3,0.0047,0.021,0.0227,0.4333
부산,2017,1,30.7,46.3,0.005,0.0257,0.0223,0.4
부산,2017,2,27.3,51.3,0.0047,0.0423,0.02,0.3667
부산,2017,3,20.7,34.7,0.004,0.0293,0.0157,0.3
부산,2017,4,23.7,42.7,0.0047,0.0243,0.0213,0.3667
부산,2018,1,28.0,47.0,0.0053,0.0273,0.0217,0.4
부산,2018,2,25.7,49.3,0.004,0.0387,0.0187,0.3
부산,2018,3,17.0,30.3,0.0037,0.0273,0.014,0.3
부산,2018,4,22.0,39.7,0.0047,0.0223,0.023,0.4
