연도_분기,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012-2분기,영천,24.1,11.5,17.5,2.0,2.4,0.0,61.5,12.7
2012-2분기,완도,23.1,13.9,18.0,3.4,4.7,0.0,70.5,9.2
2012-2분기,울릉도,18.5,12.1,15.0,4.0,3.5,0.0,75.1,6.4
2012-2분기,울산,23.1,13.6,17.9,2.4,2.9,0.0,67.4,9.5
2012-2분기,울진,20.0,11.5,15.7,2.5,2.3,0.0,75.4,8.4
2012-2분기,원주,24.6,12.4,18.2,1.8,2.5,0.0,53.5,12.2
2012-2분기,의령군,25.5,12.7,18.8,1.6,2.6,0.0,67.4,12.8
2012-2분기,의성,25.1,10.0,17.4,1.5,2.3,0.0,62.1,15.1
2012-2분기,이천,24.7,11.6,17.8,1.2,3.1,0.0,58.3,13.2
2012-2분기,인제,23.3,10.7,16.4,2.3,2.4,0.0,59.6,12.6
2012-2분기,인천,22.1,14.0,17.5,2.9,2.3,0.0,65.8,8.1
2012-2분기,임실,23.9,9.8,13.9,1.7,2.1,0.0,62.0,14.1
2012-2분기,장수,22.8,10.0,16.2,2.0,2.6,0.0,67.0,12.8
2012-2분기,장흥,23.5,12.6,17.9,2.3,3.6,0.0,70.6,10.8
2012-2분기,전주,25.5,13.3,19.0,2.1,1.8,0.0,58.1,12.1
2012-2분기,정선군,22.7,10.1,15.8,2.0,1.1,0.0,61.2,12.6
2012-2분기,정읍,25.2,13.0,18.6,1.6,1.8,0.0,59.6,12.1
2012-2분기,제주,22.0,15.5,18.6,3.2,4.1,0.0,69.3,6.4
2012-2분기,제천,23.3,9.9,16.3,1.8,3.1,0.0,60.1,13.4
2012-2분기,진주,23.7,12.0,17.6,1.4,3.0,0.0,66.3,11.7
2012-2분기,창원,23.2,14.3,18.3,2.0,3.7,0.0,63.7,8.8
2012-2분기,천안,24.9,12.2,18.3,2.3,1.9,0.0,59.3,12.6
2012-2분기,철원,23.3,10.6,16.7,2.2,3.1,0.0,61.0,12.7
2012-2분기,청송군,23.6,9.5,16.1,1.5,1.9,0.0,67.4,14.2
2012-2분기,청주,25.0,13.8,19.0,1.7,2.5,0.0,56.8,11.2
2012-2분기,추풍령,22.7,11.4,17.0,2.8,2.2,0.0,63.3,11.3
2012-2분기,춘천,24.2,11.7,17.7,1.6,3.4,0.0,60.7,12.5
2012-2분기,충주,24.9,12.1,18.3,1.9,2.2,0.0,58.0,12.7
2012-2분기,태백,20.0,8.7,14.0,1.9,2.7,0.0,66.3,11.2
2012-2분기,통영,21.4,14.0,17.3,2.0,4.1,0.0,72.8,7.4
2012-2분기,파주,24.9,11.6,17.6,1.8,2.5,0.0,67.8,13.3
2012-2분기,포항,22.8,14.9,17.3,2.0,2.6,0.0,70.1,7.8
2012-2분기,함양군,24.2,11.4,17.6,1.5,2.3,0.0,70.1,12.8
2012-2분기,합천,25.2,12.2,18.5,1.6,3.1,0.0,61.8,13.0
2012-2분기,해남,23.3,12.5,17.6,2.5,3.0,0.0,72.9,10.8
2012-2분기,해남군,25.1,11.9,18.0,1.4,2.4,0.0,67.2,13.2
2012-2분기,홍천,25.1,11.0,17.6,1.5,2.7,0.0,58.1,14.0
2012-2분기,흑산도,19.8,13.2,16.0,4.4,2.6,0.0,80.8,6.6
2012-3분기,강릉,27.2,20.5,23.6,1.9,9.2,0.0,74.3,6.7
2012-3분기,강진군,28.3,20.8,24.2,2.6,11.2,0.0,78.5,7.5
2012-3분기,강화,25.7,18.2,20.4,1.8,9.8,0.0,83.3,7.6
2012-3분기,거제,27.3,20.7,23.6,2.0,12.0,0.0,73.9,6.6
2012-3분기,거창,28.4,19.1,23.1,1.6,11.5,0.0,79.5,9.3
2012-3분기,경주시,29.1,19.8,23.8,2.2,8.4,0.0,77.3,9.3
2012-3분기,고산,26.2,19.7,22.0,4.7,14.8,0.0,86.1,6.5
2012-3분기,고산(제주),27.7,22.8,25.0,5.1,7.3,0.0,78.8,4.9
2012-3분기,고창,29.2,21.4,24.9,2.6,10.4,0.0,87.7,7.8
2012-3분기,고창군,29.7,21.3,25.0,1.8,11.3,0.0,76.5,8.4
2012-3분기,고흥,27.3,21.1,23.2,1.7,11.2,0.0,80.9,6.2
2012-3분기,광양시,29.1,22.0,25.1,2.0,13.8,0.0,85.1,7.2
2012-3분기,광주,29.6,21.8,25.2,2.4,11.7,0.0,75.6,7.9
2012-3분기,구미,29.3,20.3,24.3,1.4,9.4,0.0,76.0,9.0
2012-3분기,군산,28.1,20.9,24.1,2.3,13.2,0.0,87.3,7.2
2012-3분기,금산,28.8,19.3,23.5,1.2,10.4,0.0,75.7,9.5
2012-3분기,김해시,30.2,22.5,25.8,2.1,8.3,0.0,71.7,7.7
2012-3분기,남원,29.4,19.9,24.1,1.3,11.1,0.0,79.6,9.5
2012-3분기,남해,29.1,21.8,24.9,1.5,14.5,0.0,77.5,7.3
2012-3분기,대관령,23.1,14.8,18.6,3.0,8.2,0.0,85.0,8.3
2012-3분기,대구,30.5,22.0,25.7,2.1,8.4,0.0,69.6,8.5
2012-3분기,대전,28.7,21.2,24.7,1.8,10.7,0.0,81.5,7.5
2012-3분기,동두천,28.9,19.6,23.6,1.5,9.2,0.0,76.1,9.3
2012-3분기,동해,26.6,19.7,22.8,2.1,7.9,0.0,79.6,6.8
2012-3분기,목포,27.9,21.6,24.4,2.8,11.1,0.0,88.0,6.2
2012-3분기,문경,28.5,19.6,23.5,1.3,9.9,0.0,72.6,9.0
2012-3분기,밀양,30.7,20.9,25.2,1.6,9.2,0.0,74.1,9.7
2012-3분기,백령도,24.7,19.9,22.1,4.1,5.3,0.0,83.5,4.8
2012-3분기,보령,27.9,21.0,24.1,2.2,9.7,0.0,79.7,7.0
2012-3분기,보성군,28.7,21.4,24.8,2.6,11.2,0.0,80.8,7.3
2012-3분기,보은,28.1,19.0,22.9,1.3,10.9,0.0,78.4,9.1
2012-3분기,봉화,26.8,16.8,21.2,1.3,8.5,0.0,83.3,10.1
2012-3분기,부산,28.4,22.6,25.1,3.4,11.2,0.0,73.4,5.9
2012-3분기,부안,28.8,20.9,24.4,1.9,11.8,0.0,77.9,7.9
2012-3분기,부여,28.6,20.1,23.9,1.5,11.5,0.0,74.7,8.5
2012-3분기,북강릉,26.7,19.3,22.7,1.7,8.7,0.0,76.2,7.4
2012-3분기,북창원,29.4,21.5,24.9,1.6,13.0,0.0,72.4,7.9
2012-3분기,산청,29.0,20.4,24.0,1.4,14.4,0.0,78.7,8.7
2012-3분기,상주,28.3,19.6,23.3,1.1,9.8,0.0,78.9,8.6
2012-3분기,서귀포,28.6,23.4,25.7,2.6,14.3,0.0,81.0,5.2
2012-3분기,서산,28.0,20.2,23.7,2.0,12.1,0.0,89.2,7.9
2012-3분기,서울,28.3,21.3,24.5,2.7,12.2,0.0,69.0,7.0
2012-3분기,성산,28.3,22.5,25.1,3.1,11.8,0.0,91.8,5.8
2012-3분기,속초,26.0,20.0,22.7,2.0,7.5,0.0,85.6,6.0
2012-3분기,수원,28.8,21.1,24.6,1.9,13.5,0.0,79.1,7.7
2012-3분기,순창군,29.5,20.7,24.5,1.7,12.0,0.0,78.6,8.8
2012-3분기,순천,28.6,19.9,23.8,1.6,14.1,0.0,79.9,8.7
2012-3분기,안동,29.4,20.4,24.4,1.5,7.5,0.0,76.2,9.0
